category,sub-category,text,text_nl
teamwork,connector,You introduce people to those who can help them,"Je stelt mensen voor aan anderen, die hen kunnen helpen "
teamwork,connector,You help meetings run smoothly ,Je draagt bij aan het goed laten verlopen van een vergadering
teamwork,connector,You make sure everyone in the team has the information they need,Je zorgt ervoor dat iedereen in het team de informatie heeft die ze nodig hebben
teamwork,manage_conflict,"When a team is divided, you will help bridge the two sides","Wanneer een team verdeeld is, help jij om beide partijen weer samen te brengen"
teamwork,manage_conflict,You can raise difficult subjects without offending anyone,"Je kunt, zonder iemand te beledigen, moeilijke onderwerpen aankaarten"
teamwork,manage_conflict,You help people settle disagreements,Je helpt mensen met het oplossen van geschillen
teamwork,manage_conflict,You practice a “win-win” approach to working with people ,"Je past wanneer je met andere mensen werkt een ""win-win aanpak"" toe "
teamwork,reliable,People can always count on you to do what you say you will,Je staat altijd achter wat je zegt of wat je belooft Mensen kunnen erop rekenen dat je doet wat je zegt
teamwork,reliable,"If you promise to call or email, you definitely will ","Als je belooft te bellen of te e-mailen, dan doe je dat ook echt"
teamwork,reliable,You always live up to your promises,Je komt altijd je beloftes na
teamwork,reliable,People would trust you with the keys of their house,Mensen vertrouwen je de sleutel van hun huis toe
leadership,mentoring,You love to see other people succeed ,Je vindt het geweldig om te zien hoe anderen succes hebben
leadership,mentoring,You help people around you to do their best ,Je helpt de mensen om je heen om hun best te doen
leadership,mentoring,You ask questions that help people find their way,Je stelt vragen die mensen op weg helpen
leadership,mentoring,You offer guidance to those who ask for it,Je biedt hulp aan wanneer mensen hierom vragen
leadership,motivator,You can get people excited to take on a big challenge,Je kunt mensen enthousiast maken om een grote uitdaging  verandering aan te gaan
leadership,motivator,Your clarity of purpose is an example to others,Jouw heldere doelstelling is een voorbeeld voor anderen
leadership,motivator,Your energy is contagious,Je energie is aanstekelijk
leadership,motivator,You inspire other people,Je inspireert anderen
leadership,visionary,You can see how today relates to tomorrow ,Je ziet in hoe vandaag in verband staat met morgen
leadership,visionary,You see opportunities where others see problems or a puzzle,Je ziet kansen waar anderen problemen of onduidelijkheden zien
leadership,visionary,You set clear goals that everyone can understand and follow,"Je stelt duidelijke doelen, die door iedereen begrepen en gevolgd kunnen worden"
leadership,visionary,You can quickly develop options and choose the best ones,Je kunt snel met opties komen en de beste kiezen
leadership,empathetic,You take a real interest in the lives of other people,Je bent daadwerkelijk geïnteresseerd in het leven van andere mensen
leadership,empathetic,You feel the pain of others,Je voelt de pijn van anderen aan
leadership,empathetic,You never go too far with a joke,Je gaat nooit te ver met een grapje
leadership,empathetic,You are good at noticing when someone wants to enter a conversation,Je merkt het goed op wanneer iemand een gesprek wil aangaan
problem_solving,conceptual_thinking,You see well how things work together,Je kunt goed zien hoe dingen met elkaar samenhangen
problem_solving,conceptual_thinking,​You can lay out helpful steps to making an idea a reality,Je ziet welke stappen nodig zijn om een idee om te realiseren
problem_solving,conceptual_thinking,You are good at seeing the big picture ,Je kunt goed het grote plaatje zien
problem_solving,conceptual_thinking,Your viewpoint gives clarity to the messy reality ,Jouw kijk op de dingen schept helderheid in een rommelige realiteit
problem_solving,creative,"You often surprise other people with good, new ideas",Je verrast mensen vaak met goede nieuwe ideeën
problem_solving,creative,You are not constrained by previous practice or ideas,Je voelt je niet beperkt door oude gebruiken of ideeën 
problem_solving,creative,You see the beauty in little things,Je ziet schoonheid in kleine dingen
problem_solving,creative,You like to play with new ways of doing things,Je probeert graag nieuwe manieren uit om dingen te doen
problem_solving,inquisitive,You are always hunting down more information about what interests you,Je bent altijd op zoek naar meer informatie over wat je interesseert
problem_solving,inquisitive,You want to get to the bottom of things,Je wilt alles tot op de bodem uitzoeken
problem_solving,inquisitive,You tend to ask questions more than making statements,Je stelt meer vragen dan dat je uitspraken doen
problem_solving,inquisitive,You are eager to explore alternative sides to an issue,Je onderzoekt graag de verschillende kanten van een zaak
problem_solving,analytical,You like things to be logical,Je vindt het fijn wanneer dingen logisch zijn
problem_solving,analytical,You tend to be deliberate and precise,Je bent weloverwogen en nauwkeurig
problem_solving,analytical,You prefer to see facts and figures before you are convinced,Je hebt feiten en cijfers nodig om overtuigd te kunnen worden 
problem_solving,analytical,You make sure optimism does not trump facts in your thinking,Je zorgt ervoor dat je optimisme niet ten kosten gaat van feiten 
